age,balance,housing,loan
58,2143,yes,no
44,29,yes,no
33,2,yes,yes
47,1506,yes,no
33,1,no,no
35,231,yes,no
28,447,yes,yes
42,2,yes,no
58,121,yes,no
43,593,yes,no
41,270,yes,no
29,390,yes,no
53,6,yes,no
58,71,yes,no
57,162,yes,no
51,229,yes,no
45,13,yes,no
57,52,yes,no
60,60,yes,no
33,0,yes,no
28,723,yes,yes
56,779,yes,no
32,23,yes,yes
25,50,yes,no
40,0,yes,yes
44,-372,yes,no
39,255,yes,no
52,113,yes,yes
46,-246,yes,no
36,265,yes,yes
57,839,no,yes
49,378,yes,no
60,39,yes,yes
59,0,yes,no
51,10635,yes,no
57,63,yes,no
25,-7,yes,no
53,-3,no,no
36,506,yes,no
37,0,yes,no
44,2586,yes,no
50,49,yes,no
60,104,yes,no
54,529,yes,no
58,96,yes,no
36,-171,yes,no
58,-364,yes,no
44,0,yes,no
55,0,no,no
29,0,yes,no
54,1291,yes,no
48,-244,yes,no
32,0,yes,no
42,-76,yes,no
24,-103,yes,yes
38,243,no,yes
38,424,yes,no
47,306,yes,no
40,24,yes,no
46,179,yes,no
32,0,yes,no
53,989,yes,no
57,249,yes,no
33,790,yes,no
49,154,yes,no
51,6530,yes,no
60,100,no,no
59,59,yes,no
55,1205,yes,no
35,12223,yes,yes
57,5935,yes,yes
31,25,yes,yes
54,282,yes,yes
55,23,yes,no
43,1937,yes,no
53,384,yes,no
44,582,no,yes
55,91,no,no
49,0,yes,yes
55,1,yes,no
45,206,yes,no
47,164,no,no
42,690,yes,no
59,2343,yes,no
46,137,yes,yes
51,173,yes,no
56,45,no,no
41,1270,yes,no
46,16,yes,yes
57,486,yes,no
42,50,no,no
30,152,yes,yes
60,290,yes,no
60,54,yes,no
57,-37,no,no
36,101,yes,yes
55,383,no,no
60,81,yes,no
39,0,yes,no
46,229,yes,no
44,-674,yes,no
53,90,no,no
52,128,yes,no
59,179,yes,no
27,0,yes,no
44,54,yes,no
47,151,yes,no
34,61,no,yes
59,30,yes,no
45,523,yes,no
29,31,yes,no
46,79,no,no
56,-34,yes,yes
36,448,yes,no
59,81,yes,no
44,144,yes,no
41,351,yes,no
33,-67,yes,no
59,262,no,no
57,0,no,no
56,56,yes,no
51,26,yes,no
34,3,yes,no
43,41,yes,yes
52,7,no,yes
33,105,yes,no
29,818,yes,yes
34,-16,yes,yes
31,0,yes,no
55,2476,yes,no
55,1185,no,no
32,217,yes,no
38,1685,yes,no
55,802,yes,yes
28,0,yes,no
23,94,yes,no
32,0,yes,no
43,0,no,no
32,517,yes,no
46,265,yes,no
53,947,yes,no
34,3,yes,no
57,42,no,no
37,37,yes,no
59,57,yes,no
33,22,yes,no
56,8,yes,no
48,293,yes,no
43,3,yes,no
54,348,yes,no
51,-19,yes,no
26,0,yes,no
40,-4,yes,no
39,18,yes,no
50,139,no,no
41,0,yes,no
51,1883,yes,no
60,216,yes,no
